date,layers,temperature,humidity,egg_count
2013-06-06 12:33:53,730,19.2,99.1,612
2013-06-13 12:33:53,3026,37.1,76.7,2558
2013-06-20 12:33:53,3779,27.7,82.5,1920
2013-06-27 12:33:53,2181,20.8,78.9,1372
2013-07-04 12:33:53,2182,33.3,56.6,1878
2013-07-11 12:33:53,497,33.7,91.6,267
2013-07-18 12:33:53,4686,24.1,60.0,2385
2013-07-25 12:33:53,1426,34.3,97.1,814
2013-08-01 12:33:53,4972,23.9,86.0,4240
2013-08-08 12:33:53,207,31.3,51.5,115
2013-08-15 12:33:53,253,30.9,76.3,194
2013-08-22 12:33:53,810,26.0,56.5,581
2013-08-29 12:33:53,2525,28.8,93.1,1792
2013-09-05 12:33:53,2005,35.1,61.2,1108
2013-09-12 12:33:53,3036,35.3,67.5,2194
2013-09-19 12:33:53,336,31.1,95.3,261
2013-09-26 12:33:53,589,40.7,78.3,445
2013-10-03 12:33:53,3498,22.0,80.8,1974
2013-10-10 12:33:53,3316,27.0,90.0,2303
2013-10-17 12:33:53,3182,19.1,59.0,2264
2013-10-24 12:33:53,4750,23.4,87.5,3423
2013-10-31 12:33:53,589,34.4,93.9,335
2013-11-07 12:33:53,3341,19.3,95.4,2779
2013-11-14 12:33:53,4464,18.8,50.3,3082
2013-11-21 12:33:53,2819,37.0,52.9,2064
2013-11-28 12:33:53,2213,18.5,69.6,1452
2013-12-05 12:33:53,2602,29.5,82.2,1422
2013-12-12 12:33:53,3607,19.6,67.9,3000
2013-12-19 12:33:53,1811,41.5,80.8,1385
2013-12-26 12:33:53,2494,38.8,88.5,1657
2014-01-02 12:33:53,2328,24.0,73.6,1346
2014-01-09 12:33:53,3358,33.8,75.9,1990
2014-01-16 12:33:53,1055,35.1,77.4,886
2014-01-23 12:33:53,3268,24.1,50.9,2324
2014-01-30 12:33:53,1117,21.9,69.6,774
2014-02-06 12:33:53,435,18.5,89.6,371
2014-02-13 12:33:53,2384,32.7,58.4,1364
2014-02-20 12:33:53,3212,25.5,79.3,2696
2014-02-27 12:33:53,2294,38.8,62.7,1817
2014-03-06 12:33:53,2716,37.7,94.8,2402
2014-03-13 12:33:53,973,26.3,73.4,736
2014-03-20 12:33:53,4901,21.8,71.2,2775
2014-03-27 12:33:53,3019,38.3,55.2,1715
2014-04-03 12:33:53,1483,19.9,96.7,865
2014-04-10 12:33:53,2134,29.9,60.4,1133
2014-04-17 12:33:53,246,39.5,96.9,189
2014-04-24 12:33:53,3122,26.5,61.1,2652
2014-05-01 12:33:53,1345,33.3,63.5,1155
2014-05-08 12:33:53,2762,18.7,53.7,1485
2014-05-15 12:33:53,1745,37.9,93.4,1029
2014-05-22 12:33:53,455,19.7,68.7,326
2014-05-29 12:33:53,1033,34.1,58.9,561
2014-06-05 12:33:53,3638,39.9,66.1,2940
2014-06-12 12:33:53,2292,42.0,87.1,1724
2014-06-19 12:33:53,3034,35.0,77.8,2186
2014-06-26 12:33:53,2416,20.7,59.5,1699
2014-07-03 12:33:53,4575,34.5,55.9,3566
2014-07-10 12:33:53,3842,34.8,89.6,3420
2014-07-17 12:33:53,681,22.9,77.3,527
2014-07-24 12:33:53,2292,22.3,73.4,2029
2014-07-31 12:33:53,1121,41.9,55.7,781
2014-08-07 12:33:53,1014,24.6,86.2,814
2014-08-14 12:33:53,3709,33.6,98.6,2658
2014-08-21 12:33:53,3530,18.8,55.5,1927
2014-08-28 12:33:53,364,26.5,96.4,266
2014-09-04 12:33:53,4384,30.1,74.5,2622
2014-09-11 12:33:53,3644,36.4,82.8,2018
2014-09-18 12:33:53,2060,37.1,69.2,1502
2014-09-25 12:33:53,3738,25.2,65.6,3199
2014-10-02 12:33:53,1036,32.3,94.8,922
2014-10-09 12:33:53,924,20.0,60.2,773
2014-10-16 12:33:53,1971,34.9,78.1,1470
2014-10-23 12:33:53,4840,20.3,58.0,2557
2014-10-30 12:33:53,2712,39.4,51.7,2142
2014-11-06 12:33:53,1923,30.0,93.6,1130
2014-11-13 12:33:53,3110,22.5,80.5,2553
2014-11-20 12:33:53,3755,31.7,86.7,2105
2014-11-27 12:33:53,3261,24.2,79.7,1764
2014-12-04 12:33:53,1265,26.1,72.1,741
2014-12-11 12:33:53,2985,23.5,93.1,2330
